"indexes";"Company";"TypeName";"Inches";"screen_size";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price";"ppi"
0;"Apple";"Ultrabook";13.3;"small";2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";128;0;"Intel";"macos";1.4;71379.0;227
1;"Apple";"Ultrabook";13.3;"small";1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";128;0;"Intel";"macos";1.3;47896.0;128
2;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"N/A";1.9;30636.0;141
3;"Apple";"Ultrabook";15.4;"medium";2880;1800;0;"Intel";"Core i7";2.7;16;"SSD";512;0;"AMD";"macos";1.8;135195.0;221
4;"Apple";"Ultrabook";13.3;"small";2560;1600;0;"Intel";"Core i5";3.1;8;"SSD";256;0;"Intel";"macos";1.4;96096.0;227
5;"Acer";"Notebook";15.6;"medium";1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";500;0;"AMD";"windows";2.1;21312.0;100
6;"Apple";"Ultrabook";15.4;"medium";2880;1800;0;"Intel";"Core i7";2.2;16;"Flash Storage";256;0;"Intel";"macos";2.0;114018.0;221
7;"Apple";"Ultrabook";13.3;"small";1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";256;0;"Intel";"macos";1.3;61736.0;128
8;"Asus";"Ultrabook";14.0;"medium";1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";"windows";1.3;79654.0;157
9;"Acer";"Ultrabook";14.0;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.6;41026.0;157
10;"HP";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";"N/A";1.9;20987.0;100
11;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"N/A";1.9;18381.0;141
12;"Apple";"Ultrabook";15.4;"medium";2880;1800;0;"Intel";"Core i7";2.8;16;"SSD";256;0;"AMD";"macos";1.8;130002.0;221
13;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";"windows";2.2;26581.0;141
14;"Apple";"Ultrabook";12.0;"small";2304;1440;0;"Intel";"Core M";1.2;8;"SSD";256;0;"Intel";"macos";0.9;67261.0;226
15;"Apple";"Ultrabook";13.3;"small";2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";256;0;"Intel";"macos";1.4;80908.0;227
16;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";"windows";2.2;39694.0;141
17;"Apple";"Ultrabook";15.4;"medium";2880;1800;0;"Intel";"Core i7";2.9;16;"SSD";512;0;"AMD";"macos";1.8;152274.0;221
18;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";"N/A";2.2;26587.0;141
19;"Dell";"Ultrabook";13.3;"small";1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";128;0;"Intel";"windows";1.2;52161.0;166
21;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";2.5;53227.0;141
22;"HP";"Notebook";15.6;"medium";1366;768;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";"N/A";1.9;13746.0;100
23;"Dell";"2 in 1 Convertible";13.3;"small";1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.6;43636.0;166
24;"HP";"Ultrabook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.9;35112.0;141
25;"Dell";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";2.3;22305.0;100
26;"Apple";"Ultrabook";13.3;"small";1440;900;0;"Intel";"Core i5";1.6;8;"Flash Storage";128;0;"Intel";"macos";1.4;58555.0;128
27;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"windows";2.2;42624.0;141
28;"Dell";"Ultrabook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.9;8;"SSD";256;256;"Intel";"windows";1.9;69157.0;141
29;"HP";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";"windows";2.5;47739.0;127
30;"Chuwi";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Atom x5-Z8300";1.4;4;"Flash Storage";64;0;"Intel";"windows";1.9;13053.0;141
31;"Asus";"Notebook";14.0;"medium";1366;768;0;"AMD";"E-Series E2-6110";1.5;2;"Flash Storage";32;0;"AMD";"windows";1.7;10603.0;112
32;"HP";"Notebook";17.3;"large";1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"HDD";500;0;"AMD";"windows";2.7;23390.0;127
33;"Dell";"Ultrabook";13.3;"small";3200;1800;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"windows";1.2;99580.0;276
34;"Apple";"Ultrabook";13.3;"small";1440;900;0;"Intel";"Core i5";1.6;8;"Flash Storage";256;0;"Intel";"macos";1.4;53173.0;128
35;"Lenovo";"Notebook";14.0;"medium";1366;768;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";64;0;"Intel";"windows";1.4;13267.0;112
36;"Acer";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Intel";"linux";2.1;19554.0;100
37;"Dell";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"AMD";"windows";2.8;52161.0;127
38;"HP";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"windows";1.9;26037.0;100
39;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"windows";2.1;46833.0;141
40;"Asus";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"linux";2.0;20726.0;141
41;"Dell";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.7;79867.0;141
42;"Asus";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";"linux";2.3;27865.0;100
43;"Acer";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;4;"SSD";256;0;"Intel";"windows";2.2;36337.0;141
44;"Dell";"2 in 1 Convertible";17.3;"large";1920;1080;1;"Intel";"Core i5";1.6;12;"HDD";1024;0;"Nvidia";"windows";2.8;53227.0;127
45;"Apple";"Ultrabook";13.3;"small";2560;1600;0;"Intel";"Core i5";2.0;8;"SSD";256;0;"Intel";"macos";1.4;75604.0;227
47;"Asus";"Gaming";17.3;"large";1920;1080;0;"AMD";"Ryzen 1700";3.0;8;"Hybrid";256;1024;"AMD";"windows";3.2;69211.0;127
48;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"AMD";"windows";2.3;34046.0;141
49;"Asus";"Notebook";17.3;"large";1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Nvidia";"windows";2.8;24828.0;91
