"indexes";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price"
0;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";128;0;"Intel";"macos";1.4;71379.0
1;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";128;0;"Intel";"macos";1.3;47896.0
2;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"N/A";1.9;30636.0
3;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.7;16;"SSD";512;0;"AMD";"macos";1.8;135195.0
4;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"SSD";256;0;"Intel";"macos";1.4;96096.0
5;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";500;0;"AMD";"windows";2.1;21312.0
6;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.2;16;"Flash Storage";256;0;"Intel";"macos";2.0;114018.0
7;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";256;0;"Intel";"macos";1.3;61736.0
8;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";"windows";1.3;79654.0
9;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.6;41026.0
10;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";"N/A";1.9;20987.0
11;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"N/A";1.9;18381.0
12;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.8;16;"SSD";256;0;"AMD";"macos";1.8;130002.0
13;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";"windows";2.2;26581.0
14;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.2;8;"SSD";256;0;"Intel";"macos";0.9;67261.0
15;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";256;0;"Intel";"macos";1.4;80908.0
16;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";"windows";2.2;39694.0
17;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.9;16;"SSD";512;0;"AMD";"macos";1.8;152274.0
18;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";"N/A";2.2;26587.0
19;"Dell";"Ultrabook";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";128;0;"Intel";"windows";1.2;52161.0
21;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";2.5;53227.0
22;"HP";"Notebook";15.6;1366;768;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";"N/A";1.9;13746.0
23;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.6;43636.0
24;"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.9;35112.0
25;"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";2.3;22305.0
26;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"Flash Storage";128;0;"Intel";"macos";1.4;58555.0
27;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"windows";2.2;42624.0
28;"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.9;8;"SSD";256;256;"Intel";"windows";1.9;69157.0
29;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";"windows";2.5;47739.0
30;"Chuwi";"Notebook";15.6;1920;1080;0;"Intel";"Atom x5-Z8300";1.4;4;"Flash Storage";64;0;"Intel";"windows";1.9;13053.0
31;"Asus";"Notebook";14.0;1366;768;0;"AMD";"E-Series E2-6110";1.5;2;"Flash Storage";32;0;"AMD";"windows";1.7;10603.0
32;"HP";"Notebook";17.3;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"HDD";500;0;"AMD";"windows";2.7;23390.0
33;"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"windows";1.2;99580.0
34;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"Flash Storage";256;0;"Intel";"macos";1.4;53173.0
35;"Lenovo";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";64;0;"Intel";"windows";1.4;13267.0
36;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Intel";"linux";2.1;19554.0
37;"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"AMD";"windows";2.8;52161.0
38;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"windows";1.9;26037.0
39;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"windows";2.1;46833.0
40;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"linux";2.0;20726.0
41;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.7;79867.0
42;"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";"linux";2.3;27865.0
43;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;4;"SSD";256;0;"Intel";"windows";2.2;36337.0
44;"Dell";"2 in 1 Convertible";17.3;1920;1080;1;"Intel";"Core i5";1.6;12;"HDD";1024;0;"Nvidia";"windows";2.8;53227.0
45;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.0;8;"SSD";256;0;"Intel";"macos";1.4;75604.0
47;"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";3.0;8;"Hybrid";256;1024;"AMD";"windows";3.2;69211.0
48;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"AMD";"windows";2.3;34046.0
49;"Asus";"Notebook";17.3;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Nvidia";"windows";2.8;24828.0
51;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"windows";2.2;44808.0
52;"HP";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";"windows";1.9;21232.0
53;"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";"windows";1.5;58768.0
54;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";"windows";2.4;20460.0
55;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"windows";2.1;40908.0
56;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";"windows";1.9;23390.0
57;"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";"windows";2.0;31232.0
58;"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";"windows";2.4;130483.0
59;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"Intel";"linux";2.0;22111.0
60;"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";"windows";2.8;69211.0
61;"Dell";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.7;46833.0
62;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i3";2.7;8;"SSD";256;0;"Intel";"N/A";1.7;31915.0
63;"Asus";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.4;50136.0
64;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.9;36763.0
65;"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"windows";1.8;105654.0
66;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"AMD";"windows";1.9;23373.0
67;"HP";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.6;4;"SSD";32;0;"Intel";"windows";1.4;12201.0
68;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"windows";1.9;29251.0
69;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;12;"HDD";1024;0;"Nvidia";"linux";3.0;50563.0
70;"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";"windows";1.3;58022.0
71;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;64;"SSD";256;0;"AMD";"windows";1.4;50882.0
72;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"windows";2.2;46354.0
73;"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";2.7;58342.0
74;"Acer";"Notebook";14.0;1366;768;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";"windows";2.1;20726.0
75;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"windows";2.2;50563.0
76;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";"N/A";2.2;27652.0
77;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"Intel";"windows";2.0;45554.0
78;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";"windows";2.2;28238.0
79;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"Nvidia";"windows";2.5;52055.0
80;"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.9;58403.0
81;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core i5";1.3;8;"SSD";512;0;"Intel";"macos";0.9;80453.0
82;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.6;45821.0
83;"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SSD";128;0;"AMD";"windows";2.2;21259.0
84;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"windows";2.1;21046.0
85;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";"windows";2.7;71875.0
86;"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"windows";1.8;37243.0
87;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";2.0;31914.0
88;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";"windows";2.2;77203.0
89;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.2;87859.0
90;"Asus";"Gaming";15.6;1920;1080;0;"AMD";"FX 9830P";3.0;8;"HDD";1024;0;"AMD";"windows";2.5;37243.0
